TransactionID,ValueDate,Counterparty,LEI,Currency,Amount,Account,Narrative
TX-100001,2026-03-31,Deutsche Bank AG,7LTWFZYICNSX8D621K86,USD,1250000.00,NOSTRO-USD-001,Nostro transfer March month-end
TX-100002,2026-03-31,HSBC Bank USA NA,MP6I5ZYZBEU3UXPYFY54,USD,875500.00,NOSTRO-USD-001,Wire settlement
TX-100003,2026-03-31,Barclays Bank PLC,G5GSEF7VJP5I7OUK5573,EUR,2100000.00,NOSTRO-EUR-002,FX funding leg
TX-100004,2026-03-31,BNP Paribas SA,R0MUWSFPU8MPRO8K5P83,EUR,550000.00,NOSTRO-EUR-002,Intraday sweep
TX-100005,2026-03-31,Citibank NA,E57ODZWZ7FF32TWEFA76,USD,3200000.00,VOSTRO-USD-004,Client payment outbound
TX-100006,2026-03-31,UBS AG,BFM8T61CT2L1QCEMIK50,CHF,1800000.00,NOSTRO-CHF-003,Branch funding
TX-100007,2026-03-31,ING Bank NV,3TK20IVIUJ8J3ZU0QE75,EUR,425000.00,NOSTRO-EUR-002,Correspondent fee
TX-100008,2026-03-31,Standard Chartered,U4LOSYZ7YG4W3S5F2G91,GBP,975000.00,NOSTRO-GBP-005,Trade finance settlement
TX-100009,2026-03-31,Societe Generale,O2RNE8IBXP4R0TD8PU41,EUR,1125000.00,NOSTRO-EUR-002,Bond coupon receipt
TX-100010,2026-03-31,Wells Fargo Bank NA,PBLD0EJDB5FWOLXP3B76,USD,685000.00,NOSTRO-USD-001,ACH batch reversal
